No,Hotel,Komentar Asli,Hasil Preprocessing,Label
48,Hotel Mahkota Singkawang,uda bang. sama pernah masuk club situ😏,pernah masuk club situ,Netral
49,Hotel Mahkota Singkawang,punya usman sabta,punya usman sabta,Netral
50,Hotel Mahkota Singkawang,Bagus...,bagus,Positif
51,Hotel Mahkota Singkawang,aku pernah nginap di situ sama pas buka puasa bareng,pernah nginap situ buka puasa bareng,Positif
52,Hotel Mahkota Singkawang,selain mahkota htl harrison htl idaman aq jika ke Singkawang..👍👍,selain mahkota hotel harrison hotel idaman singkawang,Positif
53,Hotel Mahkota Singkawang,selalu nginap dsni kalau pulkam,selalu nginap sini pulang kampung,Positif
54,Hotel Mahkota Singkawang,bg aku udh pernah nginep di situ juga,pernah nginep situ,Positif
55,Hotel Mahkota Singkawang,baru aja nginap di hotel mahkota malah di ajak ke situ lagi🗿🗿,baru nginap hotel mahkota ajak situ,Positif
56,Hotel Mahkota Singkawang,gue pernh nginep di sini pesen 2 kamarkamar pertama handuknya bau kmar kedua gk ada handuknya + klosetnya airnyatu klo kita pkek bunyi 🥲,pernah nginep sini pesan kamar pertama handuk bau kedua tidak handuk kloset air pakai bunyi,Negatif
57,Hotel Mahkota Singkawang,bisa untuk yg bawa anak istri,bisa bawa anak istri,Positif
58,Hotel Mahkota Singkawang,perasaan pas kemaren aku nginap di sini tu blom se update ini lh,perasaan kemarin nginap sini belum update,Negatif
59,Hotel Mahkota Singkawang,emang enak banget disituu buat liburan sekeluarga😁,enak situ liburan sekeluarga,Positif
60,Hotel Mahkota Singkawang,waaah👍,wah,Positif
61,Hotel Mahkota Singkawang,bersih banget,bersih,Positif
62,Hotel Mahkota Singkawang,always nginap di sini,selalu nginap sini,Positif
63,Hotel Mahkota Singkawang,pernahh kesini😁,pernah sini,Positif
64,Hotel Mahkota Singkawang,misi min wkwk,misi,Netral
65,Hotel Mahkota Singkawang,Langganan nginap di mahkota hotel singkawang,langganan nginap mahkota hotel singkawang,Positif
66,Hotel Mahkota Singkawang,terima kasih,terima kasih,Positif
67,Hotel Mahkota Singkawang,keren ya,keren,Positif
68,Hotel Mahkota Singkawang,rate² liburan aku kerumah sakit 😁,rate liburan rumah sakit,Negatif
69,Hotel Mahkota Singkawang,keren ya,keren,Positif
70,Hotel Mahkota Singkawang,berapa harga nya,berapa harga,Netral
71,Hotel Mahkota Singkawang,langganan saya cuy kalau ke Singkawang 😁😁😁,langganan singkawang,Positif
72,Hotel Mahkota Singkawang,udah 2 kali bang😭,dua kali,Positif
73,Hotel Mahkota Singkawang,Lobby sama kolam berenang aja yg bahus sisanya zonk,udh nyoba tipe kmar tapi tv masih biasa ga bisa neflix,ga kedap suara sama sekali org,org mgobrol disamping kamar aja kedengaran sekelas sebesar itu kalah sama neo,lupa kasi handuk dan sprai kotor akhirnya nelpon minta ganti,padahal udah nunggu 15 menit buat mereka siapin kamar tapi tetap zonk,lobby kolam berenang bagus zonk coba tipe kamar tv biasa tidak netflix kedap suara orang ngobrol samping kamar kedengar sekelas besar kalah neo lupa handuk sprai kotor telepon minta ganti nunggu menit siapin kamar zonk,Negatif
74,Hotel Mahkota Singkawang,Udah pernah kesini..🥰,pernah sini,Positif
75,Hotel Mahkota Singkawang,gw mah udah tahu kan gw asli singkawang,tahu asli singkawang,Positif
76,Hotel Mahkota Singkawang,harga nya berp nih,berapa harga,Netral
77,Hotel Mahkota Singkawang,seruuu bangetttt d mahkota hotelll,seru mahkota hotel,Positif
78,Hotel Mahkota Singkawang,tak can wc e sumbat lpa room berape,wc sumbat lupa room berapa,Negatif
79,Hotel Mahkota Singkawang,Yah baru aja pulang dari Singkawang,baru pulang singkawang,Netral
80,Hotel Mahkota Singkawang,sdh pernah nginap disini..kereeen .malamhari bisa nyanyi di lobby nya ada musik live..ada karoke..dekat kolam renang ada ruang olah raga.mantaap,pernah nginap sini keren malam nyanyi lobby musik live karoke dekat kolam renang ruang olahraga mantap,Positif
81,Hotel Mahkota Singkawang,mantap,mantap,Positif
82,Hotel Mahkota Singkawang,gak ahhh,tidak,Negatif
83,Hotel Mahkota Singkawang,saya.orang.singkawang.klbr.namaku.sufarliyanabudaran.sekok..tinggal.erapersawaan,orang singkawang nama sufarliyanabudaran sekok tinggal erapersawaan,Netral
84,Hotel Mahkota Singkawang,@Radina mantap bos😅😅,mantap,Positif
85,Hotel Mahkota Singkawang,saya pernah nginaptolong pelayanan nya di perhatikan,pernah nginap tolong pelayanan perhatikan,Negatif
86,Hotel Mahkota Singkawang,bole buat imlex 2 malam jadi lah😅,boleh imlek dua malam,Netral
87,Hotel Mahkota Singkawang,bagus banget,bagus,Positif
88,Hotel Mahkota Singkawang,dulu pernah ke situ wkwk,pernah situ,Positif
89,Hotel Mahkota Singkawang,pingin ke sini tfi kpn yallah,pingin sini,Netral
90,Hotel Mahkota Singkawang,anjay Singkawang masuk tiktok FyP pulak,singkawang masuk fyp,Positif
91,Hotel Mahkota Singkawang,emg mahal😭,mahal,Negatif
92,Hotel Mahkota Singkawang,aku hanya liburan ke sintang,liburan sintang,Netral
93,Hotel Mahkota Singkawang,ada temen tidur GK tuh,teman tidur,Netral
94,Hotel Mahkota Singkawang,dah pernah ke situ😝,pernah situ,Positif
95,Hotel Mahkota Singkawang,main ke pp,main,Netral
96,Hotel Mahkota Singkawang,waww keren 💙,keren,Positif
97,Hotel Mahkota Singkawang,paling rendakynya berapa semalam?,paling rendah berapa semalam,Netral
98,Hotel Mahkota Singkawang,saya sudah pernah🥰🥰,pernah,Positif
99,Hotel Mahkota Singkawang,udah pernah kesini TPI ada hal trauma☹️,pernah sini trauma,Negatif
100,Hotel Mahkota Singkawang,bintang apa mana ada bintang mahal,bintang bintang mahal,Negatif
101,Hotel Mahkota Singkawang,bang udh pernah pergi,pernah pergi,Positif
102,Hotel Mahkota Singkawang,aku ada di Singkawang aku ada liat mah kota hotel kan,singkawang lihat mahkota hotel,Positif
103,Hotel Mahkota Singkawang,siip,sip,Positif
104,Hotel Mahkota Singkawang,aku yang orang skww daan juak pernah kesie😭,mun lwt sering😂,orang singkawang pernah sini sering,Positif
105,Hotel Mahkota Singkawang,aku minum teh nya langsung sakit perut,minum teh sakit perut,Negatif
106,Hotel Mahkota Singkawang,udh pernah wok pas kemarin 🤭,pernah kemarin,Positif
107,Hotel Mahkota Singkawang,iyah klo dilihat postingan nya emang bagus lah 👍👍👍👍,lihat postingan bagus,Positif
108,Hotel Mahkota Singkawang,kenapa ya aku lebih suka Swis belin dari pada mahkota,lebih suka swiss belhotel mahkota,Positif
109,Hotel Mahkota Singkawang,fr,fr,Netral
110,Hotel Mahkota Singkawang,udh pernah nginap bang,pernah nginap,Positif
111,Hotel Mahkota Singkawang,Iya boleh . Kren 🫰❤️,boleh keren,Positif
112,Hotel Mahkota Singkawang,berafa,berapa,Netral
113,Hotel Mahkota Singkawang,wawwww mantap,mantap,Positif
114,Hotel Mahkota Singkawang,aq pernah nginap disini,,,pernah nginap sini,Positif
115,Hotel Mahkota Singkawang,udh pernah di sini akhir tahun lalu,,tapi jujur si istri ku trauma sampai sekarang gak mau cerita,," ntah kenapa",pernah sini akhir tahun istri trauma tidak mau cerita,Negatif
116,Hotel Mahkota Singkawang,wah asyik tu,asyik,Positif
117,Hotel Mahkota Singkawang,itu nampak dari asrama,nampak asrama,Netral
118,Hotel Mahkota Singkawang,udah pernah,pernah,Positif
119,Hotel Mahkota Singkawang,sudah pernah pas mo pulang kampung 🙏🏻,pernah pulang kampung,Positif
120,Hotel Mahkota Singkawang,knpa bru tau skrg 😭😭😭 wktu jln2 sama bni 😭,baru tahu sekarang jalan bersama,Negatif
121,Hotel Mahkota Singkawang,yang trakhir bikin iri cuyy😂,terakhir bikin iri,Negatif
122,Hotel Mahkota Singkawang,Aku udh pernahhhhhhhhhh banget aku lif paling tinggi lantai 20🗿tapi seruhhh,pernah lift tinggi lantai seru,Positif
123,Hotel Mahkota Singkawang,aku kemarin udah nginep di sini murah banget pas plg dari malai pergi lbrn ke skw,kemarin nginep sini murah pulang malai pergi liburan singkawang,Positif
124,Hotel Mahkota Singkawang,aku ada nya ponti soalnya tinggal di singkawang 😀tapi enak kok,tinggal singkawang enak,Positif
125,Hotel Mahkota Singkawang,aku ksini pas nginep ga tau klo ada kolam berenang nya,giliran mau pulang bru tauu😫,sini nginep tidak tahu kolam renang pulang baru tahu,Negatif
126,Hotel Mahkota Singkawang,berapa harga nya,berapa harga,Netral
127,Hotel Mahkota Singkawang,minta no hotel kak.. tq,minta nomor hotel,Netral
128,Hotel Mahkota Singkawang,boleh juga,boleh,Positif
129,Hotel Mahkota Singkawang,boleh juga tuh 😄,boleh,Positif
130,Hotel Mahkota Singkawang,Singkawang tempat tinggal ku,singkawang tempat tinggal,Positif
131,Hotel Mahkota Singkawang,murah nya berapa...,murah berapa,Netral
132,Hotel Mahkota Singkawang,aku waktu itu aku nginep di grand mandarin,nginep grand mandarin,Positif
133,Hotel Mahkota Singkawang,wow keren tu,keren,Positif
134,Hotel Mahkota Singkawang,Curige adit jadi BA hotel mahkota tok e Alumni kolam renang jadi BA kan mantap e dit,curiga adit ba hotel mahkota alumni kolam renang ba mantap,Positif
135,Hotel Mahkota Singkawang,kak curiga air kolam nya ada pasir gitu,curiga air kolam pasir,Negatif
136,Hotel Mahkota Singkawang,bnyak yg dagang,banyak dagang,Netral
137,Hotel Mahkota Singkawang,jangan lupa mampir di peccel lele depanya,jangan lupa mampir pecel lele depan,Positif
138,Hotel Mahkota Singkawang,brapa satu mlm bos,berapa satu malam,Netral
139,Hotel Mahkota Singkawang,selamat datang di kota singkawang 🙏 semoga betah selama di singkawang salam dari budak singkawang 🙏🤗,selamat datang kota singkawang betah singkawang salam budak singkawang,Positif
140,Hotel Mahkota Singkawang,kren,keren,Positif
141,Hotel Mahkota Singkawang,berapa harga kamar di situ,berapa harga kamar,Netral
142,Hotel Mahkota Singkawang,terakhir sini 2020,terakhir sini,Positif
143,Hotel Mahkota Singkawang,wihhh biak singkawang,biak singkawang,Positif
144,Hotel Mahkota Singkawang,mantap tu hotel mahkota d deponegoro di depan kontrakan aku lampu merah,mantap hotel mahkota deponegoro depan kontrakan lampu merah,Positif
145,Hotel Mahkota Singkawang,terima kasih bg jadi gk penasaran lagi dalam nya kek mana,terima kasih tidak penasaran dalam,Positif
146,Hotel Mahkota Singkawang,ahh kmpung Sorang biak sngkwng dah kappak ii,kampung sorang biak singkawang,Netral
147,Hotel Mahkota Singkawang,hotel mahkota lumayan mahal sih 600k😃,hotel mahkota mahal,Negatif
148,Hotel Mahkota Singkawang,Emg sbgus itu mahkota hotel nya kk🤩🤩,bagus mahkota hotel,Positif
149,Hotel Mahkota Singkawang,terakhir anak saya kerja d sni..2020 agustus,terakhir anak kerja sini agustus,Positif
150,Hotel Mahkota Singkawang,yang punya hotel Inindak salah namanya Man boceng ya..,punya hotel inindak nama man boceng,Netral
151,Hotel Mahkota Singkawang,Assalamualaikumhati hati Bang 👍👍👍lanjut 👍👍👍🙏🙏🙏,assalamualaikum hati lanjut,Positif
152,Hotel Mahkota Singkawang,mantap bg sy org ngabang abgku,mantap ngabang,Positif
153,Hotel Mahkota Singkawang,nggak ngajak2 ya Bang ..😁,tidak ngajak,Netral
154,Hotel Mahkota Singkawang,cantyk bang hotel nya yaa.,cantik hotel,Positif
155,Hotel Mahkota Singkawang,jauh kali dari medan ke singkawang ah🤣,jauh medan singkawang,Netral
156,Hotel Mahkota Singkawang,ngopi yok bang aku org Singkawang,ngopi singkawang,Positif
157,Hotel Mahkota Singkawang,review horison resort singkawang bg kek gmn,review horison resort singkawang,Netral
158,Hotel Mahkota Singkawang,saye orang Singkawang bang,,,," hadir",orang singkawang hadir,Positif
159,Hotel Mahkota Singkawang,bang ke sambas,sambas,Netral
160,Hotel Mahkota Singkawang,mahal ndk nih,mahal,Negatif
161,Hotel Mahkota Singkawang,hadir selakau,hadir selakau,Positif
162,Hotel Mahkota Singkawang,org skw hadir 👌😁,singkawang hadir,Positif
163,Hotel Mahkota Singkawang,Keren....juga...selamat berlibur...di Hotel Mahkota Singkawang...semoga sehat bahagia dan sukses selalu..🥰😊👍🌺🌺,keren selamat berlibur hotel mahkota singkawang sehat bahagia sukses,Positif
164,Hotel Mahkota Singkawang,👍 keren,keren,Positif
165,Hotel Mahkota Singkawang,banyak amoyyynya tinggal pilih,banyak amoy tinggal pilih,Positif
166,Hotel Mahkota Singkawang,bang aku juga orang skw hadir🔥🔥🔥,orang singkawang hadir,Positif
167,Hotel Mahkota Singkawang,banyak tanjau nye.....,banyak tanjau,Netral
168,Hotel Mahkota Singkawang,berpa bg 1 MLM ny yg ada kolam berenang nya,berapa satu malam kolam renang,Netral
169,Hotel Mahkota Singkawang,wow....amazing.... 🫢,amazing,Positif
170,Hotel Mahkota Singkawang,yg punya hotel iniPak. OSO bg,saat ini menjabat ketua umum partai Hanurasalah satu politikus besar asal KALBAR pemilik OSO Group,punya hotel pak oso menjabat ketua umum partai hanura politikus besar kalbar pemilik oso group,Positif
171,Hotel Mahkota Singkawang,hadir orang Singkawang bang,hadir orang singkawang,Positif
172,Hotel Mahkota Singkawang,hadir orang singkawang bang,hadir orang singkawang,Positif
173,Hotel Mahkota Singkawang,Singkawang hadir,singkawang hadir,Positif
174,Hotel Mahkota Singkawang,udah lama aku GK pulang kampung ''rindu kota Singkawang,lama pulang kampung rindu kota singkawang,Positif
175,Hotel Mahkota Singkawang,jangan lupa singgah di mempawah bos,jangan lupa singgah mempawah,Positif
176,Hotel Mahkota Singkawang,Keren ya skw,keren singkawang,Positif
177,Hotel Mahkota Singkawang,kpn ke singkawang ni bg.slm dari singkawang,singkawang salam singkawang,Positif
178,Hotel Mahkota Singkawang,bawa cewek bg,bawa cewek,Netral
179,Hotel Mahkota Singkawang,hotel legen Masih sampai sekarang 💯,hotel legenda masih,Positif
180,Hotel Mahkota Singkawang,mantap kori,mantap,Positif
181,Hotel Mahkota Singkawang,dr mana bang.saya Singkawang,singkawang,Positif
182,Hotel Mahkota Singkawang,Kami mau pesan udh penuh semua bg padahal untuk tgl 22 Desember nnti,pesan penuh desember,Negatif
183,Hotel Mahkota Singkawang,aku pernah nginap disitu bang nyaman,pernah nginap situ nyaman,Positif
184,Hotel Mahkota Singkawang,ke sambas lagi,sambas,Netral
185,Hotel Mahkota Singkawang,kalimantan banyak hutan kan bg,ndak ada mobil,wifi,banyak orang utan,viewnya aj hutan,kalimantan hutan tidak mobil wifi orang utan view hutan,Negatif
186,Hotel Mahkota Singkawang,asli sdh pd penuh untk mlm thn baru🤦,penuh malam tahun baru,Negatif
187,Hotel Mahkota Singkawang,Bang..kok tdk dibilang brp kira2 permalamnya?,tidak bilang berapa per malam,Negatif
188,Hotel Mahkota Singkawang,harga kisaran berapa aj ya,harga kisaran berapa,Netral
189,Hotel Mahkota Singkawang,bagus sekali,bagus,Positif
190,Hotel Mahkota Singkawang,saya baru di singkawang bang,baru singkawang,Positif
191,Hotel Mahkota Singkawang,mntaapp,mantap,Positif
192,Hotel Mahkota Singkawang,halo 👋,halo,Netral
193,Hotel Mahkota Singkawang,kpn tu,kapan,Netral
194,Hotel Mahkota Singkawang,salam dr Singkawang Kalbar,salam singkawang kalbar,Positif
195,Hotel Mahkota Singkawang,ngape kau ke sie jang?,ke sini,Netral
196,Hotel Mahkota Singkawang,sini bg ke cofe di dpan hotel tuu,sini cafe depan hotel,Positif
197,Hotel Mahkota Singkawang,itu deket kebab habib cok,dekat kebab habib,Positif
198,Hotel Mahkota Singkawang,Mantaaapp.... Singkawang... Kotaku...... Is The Best....,mantap singkawang kota best,Positif
199,Hotel Mahkota Singkawang,mantap bro,mantap,Positif
200,Hotel Mahkota Singkawang,emg brpa sih harga ya,berapa harga,Netral
201,Hotel Mahkota Singkawang,masih disingkawangkah abgku,masih singkawang,Positif
202,Hotel Mahkota Singkawang,pagi bang,pagi,Netral
203,Hotel Mahkota Singkawang,ini gua lagi di Singkawang 🗿,singkawang,Positif
204,Hotel Mahkota Singkawang,jumpe soso ke daan bang @soso.zz561,jumpa soso daan,Netral
205,Hotel Mahkota Singkawang,oke bang lanjut🥰🥰🥰,oke lanjut,Positif
206,Hotel Mahkota Singkawang,nginap di eumah sy ja bg bos,nginap rumah,Netral
207,Hotel Mahkota Singkawang,Terima kasih bang sudah ke Singkawzng kota kami.,terima kasih singkawang kota,Positif
208,Hotel Mahkota Singkawang,dekat rumahku itu🗿,dekat rumah,Positif
209,Hotel Mahkota Singkawang,waktu tahun baru mau ambil kamar di mahkota itu penuh kata,tahun baru ambil kamar mahkota penuh,Negatif
210,Hotel Mahkota Singkawang,gimana tadi cuy,gimana,Netral
211,Hotel Mahkota Singkawang,harga nya berapa,harga berapa,Netral
212,Hotel Mahkota Singkawang,starbox msh ada gak cuy,starbox ada,Netral
213,Hotel Mahkota Singkawang,sangat nyaman tenang dan ramah2 para karyawanya 🙏🙏🙏,nyaman tenang ramah karyawan,Positif
214,Hotel Mahkota Singkawang,rill,rill,Netral
215,Hotel Mahkota Singkawang,real,real,Netral
216,Hotel Mahkota Singkawang,di belakang rumah gw hotelnya njirtuh Deket rumah batu,belakang rumah hotel dekat rumah batu,Positif
217,Hotel Mahkota Singkawang,JANGANNNN MENDING DI KOST AN SEHARI MURAH HANYA 50 RIBU PAKEK AC LAGI,jangan kost sehari murah ribu ac,Negatif
218,Hotel Mahkota Singkawang,ok cuy,ok,Netral
219,Hotel Mahkota Singkawang,bisa karaokean gak cuyy,bisa karaoke,Positif
220,Hotel Mahkota Singkawang,gaperlu gw tinggal di kodim,tidak perlu tinggal kodim,Netral
221,Hotel Mahkota Singkawang,gua di Singkawang pernah nginep,singkawang pernah nginep,Positif
222,Hotel Mahkota Singkawang,aku di Kalbar,kalbar,Positif
223,Hotel Mahkota Singkawang,500 an cui tak apa lah iklas tetangga dengar kasur bunyi🗿🤣,ribu ikhlas tetangga dengar kasur bunyi,Negatif
224,Hotel Mahkota Singkawang,wehh!,BTW itu punya Paman GW😁😁😁,punya paman,Positif
225,Hotel Mahkota Singkawang,KTP gak cuyy😁,ktp,Netral
226,Hotel Mahkota Singkawang,Waah mantaaap👍👍👍,mantap,Positif
227,Hotel Mahkota Singkawang,Woii gua pas kecil pernah tenggelam di kolam berenang nya😭😭,kecil pernah tenggelam kolam renang,Negatif
228,Hotel Mahkota Singkawang,waduh g pernah liat dalem ny biasanya liat dari luar,tidak pernah lihat dalam lihat luar,Netral
229,Hotel Mahkota Singkawang,kalau kamu singkawang🗿,singkawang,Positif
230,Hotel Mahkota Singkawang,kata temen sya boleh bawa cwek ga bg,teman boleh bawa cewek,Netral
231,Hotel Mahkota Singkawang,bang kalo mau neot Gimana bng,mau neot,Netral
232,Hotel Mahkota Singkawang,jirr aku tau banget tempat itu 😗,tahu tempat,Positif
233,Hotel Mahkota Singkawang,Bisa ga si cuma pengen berenang disana?,bisa berenang,Positif
234,Hotel Mahkota Singkawang,agak mahal cuy😁,mahal,Negatif
235,Hotel Mahkota Singkawang,bg di dekat abdul aziz kan,dekat abdul aziz,Positif
236,Hotel Mahkota Singkawang,hrga nya juga lumayan cuy😭,harga lumayan,Netral
237,Hotel Mahkota Singkawang,ok cuy😭,ok,Netral
238,Hotel Mahkota Singkawang,saya orang Medan udah pernah nginap di mahkota hotel,medan pernah nginap mahkota hotel,Positif
239,Hotel Mahkota Singkawang,udh beberapa x ke sana mang enak sarapan jg enak,beberapa sana sarapan enak,Positif
240,Hotel Mahkota Singkawang,yg penting aman cuyy🤣,aman,Positif
241,Hotel Mahkota Singkawang,iya cuy,iya,Netral
242,Hotel Mahkota Singkawang,ok cuy aku kumpulkan uang nya dulu coyyyy😁🙏🙏,kumpulkan uang,Netral
243,Hotel Mahkota Singkawang,Swissbell juga enak cuy,swissbell enak,Positif
244,Hotel Mahkota Singkawang,memang dr dulu mahkota hotel itu sangat keren dulu sy bulan madu di hotel mahkota satu Minggu koh,mahkota hotel keren bulan madu hotel mahkota minggu,Positif
245,Hotel Mahkota Singkawang,1malam berapa cuy,satu malam berapa,Netral
246,Hotel Mahkota Singkawang,pertama,pertama,Netral
247,Hotel Mahkota Singkawang,udah pernah nginap sini..,pernah nginap sini,Positif
248,Hotel Mahkota Singkawang,Uda pernah,pernah,Positif
249,Hotel Mahkota Singkawang,ada sy di video inii 🥰,video,Positif
250,Hotel Mahkota Singkawang,aku pernah ke singkawang,pernah singkawang,Positif
251,Hotel Mahkota Singkawang,"Ud pernah keren dua"""" nya🥰👍",pernah keren,Positif
252,Hotel Mahkota Singkawang,aku nonton cuma liat isi nya soal nya aku tinggal di singkawang🗿,nonton lihat tinggal singkawang,Positif
253,Hotel Mahkota Singkawang,sarapannya lbh enak dbnding sibell😁,sarapan enak dibanding swissbell,Positif
254,Hotel Mahkota Singkawang,next Anniv kayanya sih yah @herwin1899 🤭,next anniversary,Positif
255,Hotel Mahkota Singkawang,kenapa hotel di Singkawang mahal2 ya gak semurah di bali 😅,hotel singkawang mahal murah bali,Negatif
256,Hotel Mahkota Singkawang,Horror ga ? Bersih ngak ?,horror bersih,Negatif
257,Hotel Mahkota Singkawang,Ada shutter ga,shutter,Netral
258,Hotel Mahkota Singkawang,semua sy udh peenah ke situ..krn sy tinggal.dekat hotel.mahkota haha,pernah situ tinggal dekat hotel mahkota,Positif
259,Hotel Mahkota Singkawang,dekat rumah teman ku🗿,dekat rumah teman,Positif
260,Hotel Mahkota Singkawang,kenapa ga di warpay,warpay,Netral
261,Hotel Mahkota Singkawang,udah 3x nginap di sana.dan akhir bulan ini akan nginap di sini lagi😍,tiga nginap sana akhir bulan nginap sini,Positif
262,Hotel Mahkota Singkawang,berapa kak,berapa,Netral
263,Hotel Mahkota Singkawang,interiornya tertata apik dan hidangannya enak👍🏻,interior tertata apik hidangan enak,Positif
264,Hotel Mahkota Singkawang,pernah ginap di sini tapi ga bolehke area kolam renanganak anak agak kecewa sih..,pernah nginap sini tidak boleh area kolam renang anak kecewa,Negatif
265,Hotel Mahkota Singkawang,udh dua x kesini ya Allah puas bngt 🥰,dua sini allah puas,Positif
266,Hotel Mahkota Singkawang,mau kesini pas liat bentuk shower nya aaaahhh 😭😭😭,mau sini lihat shower,Netral
267,Hotel Mahkota Singkawang,wih deket rumahku itu,dekat rumah,Positif
268,Hotel Mahkota Singkawang,saya sudah menginap di kedua htl ini tp Swis bel in htl yg servisny lebih bagus...,menginap hotel swissbelhotel servis bagus,Positif
269,Hotel Mahkota Singkawang,dekat rumah gw jadi gw gak pernah nginep tapi sering main di situ 🤭😭😭,dekat rumah tidak pernah nginep sering main situ,Positif
270,Hotel Mahkota Singkawang,Kalau tambah kasur bisa ga? Berapa,tambah kasur berapa,Netral
