No,Hotel,Komentar Asli,Hasil Preprocessing,Label
61,Hotel Dayang Resort Singkawang,Alhamdulillah udah pernah ke sini 👍👍,alhamdulillah pernah sini,Positif
62,Hotel Dayang Resort Singkawang,AC ny udah ngk dingin...,ac tidak dingin,Negatif
63,Hotel Dayang Resort Singkawang,kemarin aku ke situu,kemarin situ,Positif
64,Hotel Dayang Resort Singkawang,udah pernah pergi seru bngt,pernah pergi seru,Positif
65,Hotel Dayang Resort Singkawang,luas ny lahan tc,luas lahan,Positif
66,Hotel Dayang Resort Singkawang,gua pernah berkunjung ke situ tapi kolam nya kurang dalam bang,pernah berkunjung situ kolam kurang dalam,Negatif
67,Hotel Dayang Resort Singkawang,bukan. nya. mau. tutup. ya,bukan tutup,Netral
68,Hotel Dayang Resort Singkawang,mending taman cinta,taman cinta,Positif
69,Hotel Dayang Resort Singkawang,budget brp habis disini ni😁,budget habis sini,Netral
70,Hotel Dayang Resort Singkawang,kalau ngk nginap bisa ngak,tidak nginap,Netral
71,Hotel Dayang Resort Singkawang,saya pernah ke situ bg sedap ada makan nasi goreng saya sampai sore bilas eee Ade mau keliling naik mobil Trak kan,pernah situ sedap makan nasi goreng sore bilas keliling mobil trak,Positif
72,Hotel Dayang Resort Singkawang,siyapa yang rindu rindam,rindu rindam,Netral
73,Hotel Dayang Resort Singkawang,2022 pernah kesitu kami bg asli lokasi penginapannya sangat mantap dan nyaman apalagi suasana bangun dipagi harinya wahh lah pokoknya,pernah situ lokasi penginapan mantap nyaman suasana bangun pagi,Positif
74,Hotel Dayang Resort Singkawang,penah nginap disini is oke buat keluarga,nginap sini oke keluarga,Positif
75,Hotel Dayang Resort Singkawang,pergi ke bajau zoo bang👍,bajau zoo,Positif
76,Hotel Dayang Resort Singkawang,knp tdi gw ga ke situ aj ya 🗿😭😭 kki gw skin naik gunung 🗿,tidak situ naik gunung,Negatif
77,Hotel Dayang Resort Singkawang,lurus aja,lurus,Netral
78,Hotel Dayang Resort Singkawang,tapi ada kejadian☠️,kejadian,Netral
79,Hotel Dayang Resort Singkawang,jujur aku trauma ama kolam renang nya pernah hampir tenggelem disitu,trauma kolam renang hampir tenggelam situ,Negatif
80,Hotel Dayang Resort Singkawang,TPI seru 2 malam di situ lohhh,seru malam situ,Positif
81,Hotel Dayang Resort Singkawang,ketemu Ushuluddin ga bang😁,ketemu ushuluddin,Netral
82,Hotel Dayang Resort Singkawang,pernah sampai harga 386 lebih harganya anak kecil jg harus bayar 😡,harga lebih anak kecil bayar,Negatif
83,Hotel Dayang Resort Singkawang,mu kesana tapi gak nginap tapi bisa titip barang gak kk kami mu berenang saja,kesana tidak nginap titip barang berenang,Netral
84,Hotel Dayang Resort Singkawang,berapa harga berenang?,berapa harga berenang,Netral
85,Hotel Dayang Resort Singkawang,bawa pacar sini boleh ga bang,bawa pacar sini boleh,Netral
86,Hotel Dayang Resort Singkawang,berapa penginapanny,berapa penginapan,Netral
87,Hotel Dayang Resort Singkawang,gw suka kolam arus nya,suka kolam arus,Positif
88,Hotel Dayang Resort Singkawang,udah pernahh,pernah,Positif
89,Hotel Dayang Resort Singkawang,Udah tutup dah,tutup,Negatif
90,Hotel Dayang Resort Singkawang,msh buka?,buka,Netral
91,Hotel Dayang Resort Singkawang,mau nanya kolam nya brp meter?,nanya kolam meter,Netral
92,Hotel Dayang Resort Singkawang,aku nanti mau jalan jalan sekelas ke datang resort 🤭🤭🤭,nanti jalan sekelas datang resort,Positif
93,Hotel Dayang Resort Singkawang,kami udah ke situ bang seru banget,situ seru,Positif
94,Hotel Dayang Resort Singkawang,𝐭𝐢𝐦 𝐲𝐚𝐧𝐠 𝐮𝐝𝐡 𝐛𝐞𝐫𝐞𝐧𝐚𝐧𝐠 𝐝𝐢 𝐬𝐚𝐧𝐚,berenang sana,Positif
95,Hotel Dayang Resort Singkawang,Seru banget di situ pagi pagi udah tunguin kolam renang nya buka,seru situ pagi tunggu kolam renang buka,Positif
96,Hotel Dayang Resort Singkawang,dri aku maseh paud setiap minggu ke dayang,"sampai sekarang pn masih ke dayang ",soalnye seseru iye,masih paud setiap minggu dayang sekarang dayang seru,Positif
97,Hotel Dayang Resort Singkawang,pernah nginap disana,penginapan banyak nyamuk nya😭,nginap penginapan banyak nyamuk,Negatif
98,Hotel Dayang Resort Singkawang,insyaallah lebaran ini kt kesn bersama keluarga 🥰🥰,insyaallah lebaran kesana keluarga,Positif
99,Hotel Dayang Resort Singkawang,otw,otw,Netral
100,Hotel Dayang Resort Singkawang,aku mah waktu kecil kalo mau berenang disitu aku lagi di singkawang nih,waktu kecil berenang situ singkawang,Positif
101,Hotel Dayang Resort Singkawang,rekomen nih udh pernah kesana seruu bgt🥰,rekomendasi pernah sana seru,Positif
102,Hotel Dayang Resort Singkawang,aku kemarin ke pantai samudra di singkawang,kemarin pantai samudra singkawang,Positif
103,Hotel Dayang Resort Singkawang,berapa sih perlu buat liburan tuh .,berapa perlu liburan,Netral
104,Hotel Dayang Resort Singkawang,iya bang itu bagus banget aku pernah kesitu bagus,bagus pernah situ bagus,Positif
105,Hotel Dayang Resort Singkawang,dah sering k situ..krn sy org skw,sering situ orang singkawang,Positif
106,Hotel Dayang Resort Singkawang,minus nya kurang bersih aja ngk kayak di Bali,minus kurang bersih tidak bali,Negatif
107,Hotel Dayang Resort Singkawang,seingatku dulu dayang resort ngga segede ini deh,ingat dayang resort tidak segede,Negatif
108,Hotel Dayang Resort Singkawang,Dlu stay 1 bulan di sini☺️,stay bulan sini,Positif
109,Hotel Dayang Resort Singkawang,pantai dayang pasti banyak dayang kn KLO MLM hari 😂,pantai dayang banyak dayang malam,Netral
110,Hotel Dayang Resort Singkawang,berapa sewa sepeda listriknya?,berapa sewa sepeda listrik,Netral
111,Hotel Dayang Resort Singkawang,keinget kejadian kolam arus,ingat kejadian kolam arus,Negatif
112,Hotel Dayang Resort Singkawang,ye2..nyamuk nya besar2 😁,nyamuk besar,Negatif
113,Hotel Dayang Resort Singkawang,sya nginep di situ coba cek aja vt gua,nginap situ cek vt,Positif
114,Hotel Dayang Resort Singkawang,aku pernah ke sanak,pernah sanak,Positif
115,Hotel Dayang Resort Singkawang,dh puluhan kli dh snii traker pgi sni jembatan gii di buatt atau d btl kn gtt,puluhan sini tracker pagi sini jembatan buat betulkan,Netral
116,Hotel Dayang Resort Singkawang,masuk nye brpe bang,masuk berapa,Netral
117,Hotel Dayang Resort Singkawang,udh di resmikan ke bang,resmikan,Netral
118,Hotel Dayang Resort Singkawang,pernah ke sanak sepiiiiiii tpi tk ap bise puas maen e🥰,pernah sanak sepi bisa puas main,Positif
119,Hotel Dayang Resort Singkawang,SMOGA NNTI BISA NGINAP D SINI DESEMBER WKT PELANTIKAN ANK KU D SPN SAGATANI SINGKAWANG ANK* AJK NGINAP D SINI TP SY G MW LBIH MILIH D KOTA SINGKAWANG Y LBIH ENAK KULINER Y😂,semoga nanti nginap sini desember pelantikan anak spn sagatani singkawang nginap sini tidak mau pilih kota singkawang enak kuliner,Positif
120,Hotel Dayang Resort Singkawang,gw ke situ di kejar kodok😭🗿,situ kejar kodok,Negatif
121,Hotel Dayang Resort Singkawang,gw udah kesitu recommended banget sih,situ rekomendasi,Positif
122,Hotel Dayang Resort Singkawang,kerenn bang🔥,keren,Positif
123,Hotel Dayang Resort Singkawang,kamar nya kurang bersih kamar mandi nya kotor,kamar kurang bersih kamar mandi kotor,Negatif
124,Hotel Dayang Resort Singkawang,pop mie nye mahal,pop mie mahal,Negatif
125,Hotel Dayang Resort Singkawang,Udah pernah ke Dayang Resort 🙋,pernah dayang resort,Positif
126,Hotel Dayang Resort Singkawang,Skian banyak hotel/vila yg aku pesen setiap k skw,tetep nomer 1 di dayang sih,tempat terfav ternyaman,apalgi kalau bwa anak kecil cocok bnget nginep disini,krna ada kolam renang dan taman untuk main anak2😍 trus banyak spot foto cantik di dayang,kamar bersih,ac dingin,air deress,pokoknya bestt dehh🤩 makanannya jga enak2😍,banyak hotel vila pesan setiap singkawang tetap nomor dayang tempat favorit nyaman bawa anak kecil cocok nginap sini kolam renang taman main anak spot foto cantik dayang kamar bersih ac dingin air deras best makanan enak,Positif
127,Hotel Dayang Resort Singkawang,aku udh 2 kali,dua kali,Positif
128,Hotel Dayang Resort Singkawang,Aku di Sambas males buat ke situ 😭,sambas males situ,Negatif
129,Hotel Dayang Resort Singkawang,halo bang itu suara gua di situ bang gua berenang,halo suara situ berenang,Positif
130,Hotel Dayang Resort Singkawang,saya udh kesana 5 kali kesitu tadak serun,lima situ tidak seru,Negatif
131,Hotel Dayang Resort Singkawang,gw waktutu study tour gw ke situ bagus+seluncuran ny beh,study tour situ bagus seluncuran,Positif
132,Hotel Dayang Resort Singkawang,kemaren pass study tour gw kesana min😋,kemarin study tour sana,Positif
133,Hotel Dayang Resort Singkawang,sudah puas kesana mulu,puas sana,Positif
134,Hotel Dayang Resort Singkawang,pantai@dayang 🕷️ 🥰,pantai dayang,Positif
135,Hotel Dayang Resort Singkawang,keren bang nov 🤩🤩,keren,Positif
136,Hotel Dayang Resort Singkawang,taht's great!,great,Positif
137,Hotel Dayang Resort Singkawang,kalo masuk bisa mandi2 ga di kolam renang nya,masuk mandi kolam renang,Netral
138,Hotel Dayang Resort Singkawang,kemaren kamek ke sinek,kemarin sinek,Positif
139,Hotel Dayang Resort Singkawang,maok nginap seminggu lah bise berjelajah kesemua wisata ny 😭,nginap seminggu berjelajah wisata,Positif
140,Hotel Dayang Resort Singkawang,yang tinggal di Singkawang ngumpul sini🗿😁🥰,tinggal singkawang ngumpul sini,Positif
141,Hotel Dayang Resort Singkawang,nice video,nice video,Positif
142,Hotel Dayang Resort Singkawang,tgl 21 otw study tour ke sanaaa,tanggal otw study tour sana,Positif
143,Hotel Dayang Resort Singkawang,biak PP hadirr,biak pp hadir,Positif
144,Hotel Dayang Resort Singkawang,dah pernah ke situ,pernah situ,Positif
145,Hotel Dayang Resort Singkawang,saya pernah ke sana Seru si.. pas bawa keluarga tapi sedikit kecewa ndk boleh bawa bekal katanyaa....!! Dulu pertama masuk boleh dan sekarang tidak apakah sekarang masih berlaku..?? Serius nanya yaa..??,pernah sana seru bawa keluarga kecewa tidak boleh bawa bekal dulu masuk boleh sekarang tidak berlaku serius nanya,Negatif
146,Hotel Dayang Resort Singkawang,brp bg untuk liburan keluarga,berapa liburan keluarga,Netral
147,Hotel Dayang Resort Singkawang,baru tau aku rek²🗿,baru tahu,Netral
148,Hotel Dayang Resort Singkawang,seluncuran nya tinggi banget plisss tpi seru bngettt klm arus nyaa dalem banget arus nya kuat bngett😭,seluncuran tinggi seru kolam arus dalam arus kuat,Positif
149,Hotel Dayang Resort Singkawang,wah dulu saya kerja dstu bang,,nanam durian,mangga jg ad,di bagian bukit nya,,udah jadi bagus sekarang ya...,dulu kerja situ nanam durian mangga bukit jadi bagus sekarang,Positif
150,Hotel Dayang Resort Singkawang,aku pernah pergi om,pernah pergi,Positif
151,Hotel Dayang Resort Singkawang,waktu it kamk ke stuk yg di atas maseh jlek,waktu stuk atas masih jelek,Negatif
152,Hotel Dayang Resort Singkawang,bang coba satuwatt,coba satuwatt,Netral
153,Hotel Dayang Resort Singkawang,sekarang saya pergi ke singkawang,sekarang pergi singkawang,Positif
154,Hotel Dayang Resort Singkawang,aku pernah kesitu seru banget,pernah situ seru,Positif
155,Hotel Dayang Resort Singkawang,masuk brp byr nye,masuk berapa bayar,Netral
156,Hotel Dayang Resort Singkawang,bebas ke penginapan yaa,bebas penginapan,Netral
157,Hotel Dayang Resort Singkawang,aku pernah,pernah,Positif
158,Hotel Dayang Resort Singkawang,bagus cocok untuk liburan keluarga dan pasutri. sudah pernah kesini 👍👍,bagus cocok liburan keluarga pasutri pernah sini,Positif
159,Hotel Dayang Resort Singkawang,mantap tuh,mantap,Positif
160,Hotel Dayang Resort Singkawang,aku udh pergi,pernah,Positif
161,Hotel Dayang Resort Singkawang,kamek pernah sinik iii pas tour sedapp pkok eee,pernah sini tour sedap,Positif
162,Hotel Dayang Resort Singkawang,mehong,mahal,Negatif
163,Hotel Dayang Resort Singkawang,berapa bayar nya,berapa bayar,Netral
164,Hotel Dayang Resort Singkawang,aku pernah ke situ,pernah situ,Positif
165,Hotel Dayang Resort Singkawang,woowww keren👍,keren,Positif
166,Hotel Dayang Resort Singkawang,tanggal 31 aku pergi kan libuaran,tanggal pergi liburan,Positif
167,Hotel Dayang Resort Singkawang,wow😲😯😯😮😮😮,wow,Positif
168,Hotel Dayang Resort Singkawang,keren,keren,Positif
169,Hotel Dayang Resort Singkawang,udh pernah naik prosotan Oren putih 🗿,pernah naik prosotan oren putih,Positif
170,Hotel Dayang Resort Singkawang,g sabar bnggttt mau ke situ🗿🙏,sabar mau situ,Positif
171,Hotel Dayang Resort Singkawang,waktu itu pas kesana ad ular,waktu sana ular,Negatif
172,Hotel Dayang Resort Singkawang,berape kali dah kamek ke situk 😹🤭,berapa kali situk,Positif
173,Hotel Dayang Resort Singkawang,gue pernah kesana 😹🗿,pernah sana,Positif
174,Hotel Dayang Resort Singkawang,sepi amat,sepi,Negatif
175,Hotel Dayang Resort Singkawang,baru tadi pegi,baru pergi,Positif
176,Hotel Dayang Resort Singkawang,dayang resort tempat faforit gueh,dayang resort tempat favorit,Positif
177,Hotel Dayang Resort Singkawang,lebih bagus di horison dari pada dayang resort,lebih bagus horison dayang resort,Negatif
178,Hotel Dayang Resort Singkawang,Pernah kesini😅,pernah sini,Positif
179,Hotel Dayang Resort Singkawang,salam kenal bang,salam kenal,Positif
180,Hotel Dayang Resort Singkawang,bang besok saya mau ke sana gasabar banget soal nya keren banget😁,besok sana sabar keren,Positif
181,Hotel Dayang Resort Singkawang,masya Allah,masya allah,Positif
182,Hotel Dayang Resort Singkawang,aku udah pernah ke sana,pernah sana,Positif
183,Hotel Dayang Resort Singkawang,bang aku udh prnh pergi 1 tahun lalu 😁,pernah pergi tahun lalu,Positif
184,Hotel Dayang Resort Singkawang,itu mah dekat rumahku bg,dekat rumah,Positif
185,Hotel Dayang Resort Singkawang,udh 6thun g kesini 🗿,enam tahun tidak sini,Negatif
186,Hotel Dayang Resort Singkawang,brpa bng masuk nya,berapa masuk,Netral
187,Hotel Dayang Resort Singkawang,kira 2 brph ye bg,kira berapa,Netral
188,Hotel Dayang Resort Singkawang,aku pernah kesitu,pernah situ,Positif
189,Hotel Dayang Resort Singkawang,tempat study tour sd ku 🗿,tempat study tour sd,Positif
190,Hotel Dayang Resort Singkawang,usah ade penipuan,penipuan,Negatif
191,Hotel Dayang Resort Singkawang,bosen dh bg ke situ trus aku soal nye dekat😭,bosan situ dekat,Negatif
192,Hotel Dayang Resort Singkawang,pad ad moment hari libur harga nya gak ngotak 😂😂😂,moment libur harga tidak ngotak,Negatif
193,Hotel Dayang Resort Singkawang,biak Singkawang hadir 😁,biak singkawang hadir,Positif
194,Hotel Dayang Resort Singkawang,aku pernah ke situ kamar Nye Ade kecoa,pernah situ kamar kecoa,Negatif
195,Hotel Dayang Resort Singkawang,Saya pernah ke situ Saya kan orang Kalbar serunya ke situ Adam lagi Saya suka berenang di situ,pernah situ orang kalbar seru situ suka berenang situ,Positif
196,Hotel Dayang Resort Singkawang,dah lama ngak pulang😁😁😁😁skw tambah maju,lama pulang singkawang maju,Positif
197,Hotel Dayang Resort Singkawang,Wifi-nya gak lancar apalagi yg di atas sinyal kurang bagus,wifi tidak lancar atas sinyal kurang bagus,Negatif
198,Hotel Dayang Resort Singkawang,berape harga masuk kesitu,berapa harga masuk,Netral
199,Hotel Dayang Resort Singkawang,kerennn,keren,Positif
200,Hotel Dayang Resort Singkawang,bagus ya,bagus,Positif
201,Hotel Dayang Resort Singkawang,wahhh,wah,Positif
202,Hotel Dayang Resort Singkawang,🥰Cantik,cantik,Positif
203,Hotel Dayang Resort Singkawang,Brp tiket nya,berapa tiket,Netral
204,Hotel Dayang Resort Singkawang,singkawang Kalbar kebanggaanku.🥰,singkawang kalbar kebanggaan,Positif
205,Hotel Dayang Resort Singkawang,padahal dlu sering bulak balik singkawang ponti tpi ga tau ada tmpat seindah ini,dulu sering bolak balik singkawang pontianak tidak tahu tempat indah,Positif
206,Hotel Dayang Resort Singkawang,udah pernah ke dayang resort tapi daan tau kalau seluas iye,pernah dayang resort tidak tahu seluas,Positif
207,Hotel Dayang Resort Singkawang,bang saya pernah kesitu,pernah situ,Positif
208,Hotel Dayang Resort Singkawang,emang keren tempat wisata🥰🥰🥰🥰,keren tempat wisata,Positif
209,Hotel Dayang Resort Singkawang,info harga penginapan nya,info harga penginapan,Netral
210,Hotel Dayang Resort Singkawang,dekat rumah 🥰,dekat rumah,Positif
211,Hotel Dayang Resort Singkawang,di sanak boleh bawak makanan sendirik ke?,sanak boleh bawa makanan sendiri,Netral
212,Hotel Dayang Resort Singkawang,Kat mana ni bang,mana,Netral
213,Hotel Dayang Resort Singkawang,depan rindam 12,depan rindam,Netral
214,Hotel Dayang Resort Singkawang,pas siang☺ pas malam😬,siang malam,Netral
215,Hotel Dayang Resort Singkawang,sepi wooy udh beberapa kali gue pergi masih aja GK Ramai !,sepi beberapa pergi tidak ramai,Negatif
216,Hotel Dayang Resort Singkawang,guaa disitu maling mangga kena sengat penyengat bg🗿🗿🗿,situ maling mangga sengat penyengat,Negatif
217,Hotel Dayang Resort Singkawang,kt nye ad biak kecik mati disie,biak kecil mati sini,Negatif
218,Hotel Dayang Resort Singkawang,udh pernah nginap tak bagus tak ingin lg kstu bagus nginap hotel lain ja,pernah nginap tidak bagus tidak ingin situ bagus nginap hotel lain,Negatif
219,Hotel Dayang Resort Singkawang,Aku pernah ke sana pagi pagi di ajk senan😔 di tempat menanjak🗿,pernah sana pagi ajak senan tempat menanjak,Negatif
220,Hotel Dayang Resort Singkawang,Ada yg BAB njiiir di kolam 🗿,bab kolam,Negatif
221,Hotel Dayang Resort Singkawang,"bng? 3 thn lalu ak kesana trus pas makan kakaknya bilang ""eh bu anaknya 5 tahun ya? makan gratis"" pdhl waktu itu ak kls 2 😭😭",tahun lalu sana makan kakak bilang anak tahun makan gratis kelas,Netral
222,Hotel Dayang Resort Singkawang,ok otw,ok otw,Netral
223,Hotel Dayang Resort Singkawang,alhamdulillah sudah ke sana makanannya enak enak,alhamdulillah sana makanan enak,Positif
224,Hotel Dayang Resort Singkawang,itu bukan nya gerbang bengkayang? soal nya gerbang skw ada kulit nya maaf klo slh,bukan gerbang bengkayang gerbang singkawang kulit maaf salah,Netral
225,Hotel Dayang Resort Singkawang,aku yg orang Singkawang malah belum kesini 😀😀😀 masih bingung arah jalan masuknya,orang singkawang belum sini bingung arah jalan masuk,Negatif
226,Hotel Dayang Resort Singkawang,bang aku pun pernah ke situ pas tadik,pernah situ,Positif
227,Hotel Dayang Resort Singkawang,Alhamdulillah tempat nyak bagus dan sejuk,alhamdulillah tempat bagus sejuk,Positif
228,Hotel Dayang Resort Singkawang,brp tiketnya,berapa tiket,Netral
229,Hotel Dayang Resort Singkawang,Lumayan baguslahh pelayanan nya jak agak kurang gerecep.pesan kopi hitam jakk lama nya minta ampun,lumayan bagus pelayanan kurang cepat pesan kopi hitam lama,Negatif
230,Hotel Dayang Resort Singkawang,wes tau og,tahu,Netral
231,Hotel Dayang Resort Singkawang,dhh pegii dh kmk pas puase sepi mcm kolam pribadi 30 tiket msok e,pergi puasa sepi kolam pribadi tiket masuk,Negatif
232,Hotel Dayang Resort Singkawang,aku suah ke sie,suah,Positif
233,Hotel Dayang Resort Singkawang,aku udah pernah pergi seru banget🥰,pernah pergi seru,Positif
234,Hotel Dayang Resort Singkawang,𝕨𝕠𝕨𝕨𝕨𝕨,wow,Positif
235,Hotel Dayang Resort Singkawang,udah pernah ke situuuu,pernah situ,Positif
236,Hotel Dayang Resort Singkawang,Udh langganan tiap tahun,langganan tahun,Positif
237,Hotel Dayang Resort Singkawang,aku pernah ke situ dengn dengan keluarga aku,pernah situ keluarga,Positif
238,Hotel Dayang Resort Singkawang,aku pernah di situ debus,pernah situ debus,Positif
239,Hotel Dayang Resort Singkawang,aku suah pegi,pernah,Positif
240,Hotel Dayang Resort Singkawang,kenapa baru lewat 🦥,baru lewat,Netral
241,Hotel Dayang Resort Singkawang,ada pantai ngapain kesitu,pantai kesitu,Negatif
242,Hotel Dayang Resort Singkawang,dh pernah ke situu memang sebagus ituu,pernah situ bagus,Positif
243,Hotel Dayang Resort Singkawang,aku kemaren ngerayain ultah ke dayang😁😁😁,kemarin rayakan ulang tahun dayang,Positif
244,Hotel Dayang Resort Singkawang,aku pernah ke situ,pernah situ,Positif
245,Hotel Dayang Resort Singkawang,Aku sering ke dayang resort,sering dayang resort,Positif
246,Hotel Dayang Resort Singkawang,cobe cek vt ak ak ad ke sanak,cek vt sanak,Positif
247,Hotel Dayang Resort Singkawang,sepi banget klo hari biasa,sepi hari biasa,Negatif
248,Hotel Dayang Resort Singkawang,bg aku pernah ke situ,pernah situ,Positif
249,Hotel Dayang Resort Singkawang,lu ilegal bang masa rekam masuk pke drone😭,ilegal rekam masuk drone,Negatif
250,Hotel Dayang Resort Singkawang,paketan 1 malam dua hari berape kak hotel Nye,paket malam hari berapa hotel,Netral
251,Hotel Dayang Resort Singkawang,punye kakek aku,punya kakek,Positif
252,Hotel Dayang Resort Singkawang,makin bagus jirr,makin bagus,Positif
