No,Hotel,No_Original,Sumber_File,Komentar_Asli,Hasil_Preprocessing,Label
20,Hotel Swiss-Belhotel Singkawang,20,2a.csv,👍🤗,,Netral
21,Hotel Swiss-Belhotel Singkawang,21,2a.csv,🥰,,Netral
22,Hotel Swiss-Belhotel Singkawang,22,2a.csv,"dh pernah dh,skrng jdi kenangan 😂",sudah pernah sekarang jadi kenangan,Positif
23,Hotel Swiss-Belhotel Singkawang,23,2a.csv,barusan malam minggu kemaren kesini,barusan malam minggu kemarin sini,Positif
24,Hotel Swiss-Belhotel Singkawang,24,2a.csv,Singkawang Swiss Beliin 👍 keren 🥰🥰🥰,singkawang swiss belhotel keren,Positif
25,Hotel Swiss-Belhotel Singkawang,25,2a.csv,🤗🤗💐wao keren banget,wao keren sekali,Positif
26,Hotel Swiss-Belhotel Singkawang,26,2a.csv,🥰🥰🥰,,Netral
27,Hotel Swiss-Belhotel Singkawang,27,2a.csv,@sel🐇,sel,Netral
28,Hotel Swiss-Belhotel Singkawang,28,2a.csv,saya setiap liburan pasti nginap nya D sini apa lagi yg pemandangan nya gunung enak sekali,saya setiap liburan pasti nginap sini apa lagi pemandangan gunung enak sekali,Positif
29,Hotel Swiss-Belhotel Singkawang,29,2a.csv,"𝘵𝘢𝘩𝘶𝘯 𝘭𝘢𝘭𝘶 𝘨𝘶𝘦 𝘭𝘪𝘣𝘶𝘳𝘢𝘯 𝘥𝘪𝘴𝘪𝘯𝘪,, 𝘣𝘦𝘳𝘴𝘢𝘮𝘢 𝘢𝘯𝘢𝘬 𝘣𝘶𝘢𝘩 𝘬𝘶, 🙏🙏",tahun lalu aku liburan sini bersama anak buah,Positif
30,Hotel Swiss-Belhotel Singkawang,30,2a.csv,kalau musim liburan harga kamar nya 1-2 JT /malam,kalau musim liburan harga kamar 1 2 juta malam,Netral
31,Hotel Swiss-Belhotel Singkawang,31,2a.csv,saya selaku anak Singkawang . bertrimaksih sudah mengunjungi kota amoi kami yg berbagai macam ragam suku tetap damai 🥰🙏,saya selaku anak singkawang berterimakasih sudah mengunjungi kota amoi kami berbagai macam ragam suku tetap damai,Positif
32,Hotel Swiss-Belhotel Singkawang,32,2a.csv,brpa 1 mlm hotel Swiss kak,berapa 1 malam hotel swiss kakak,Netral
33,Hotel Swiss-Belhotel Singkawang,33,2a.csv,saya tinggal di Singkawang,saya tinggal singkawang,Netral
34,Hotel Swiss-Belhotel Singkawang,34,2a.csv,baru balik dari singkawang kemaren 😁🥰,baru balik singkawang kemarin,Positif
35,Hotel Swiss-Belhotel Singkawang,35,2a.csv,kota Singkawang mantap 👍,kota singkawang bagus,Positif
36,Hotel Swiss-Belhotel Singkawang,36,2a.csv,aku yg orang singkawang mlah gk pernah kmna2😂,aku orang singkawang malah tidak pernah kemana,Netral
37,Hotel Swiss-Belhotel Singkawang,37,2a.csv,udah ke situ.. 530 ribu. yg paling bagus menurut aku adalah horizon. yuk mari kesana..semalam cuma.1.3 juta aja. seperti bali lagi.. 😂,sudah situ 530 ribu paling bagus menurut horizon yuk mari sana semalam 1 3 juta seperti bali,Positif
38,Hotel Swiss-Belhotel Singkawang,38,2a.csv,aku pernah ke situ bulan 12 tanggal 13 ke hotel Swiss beliin,aku pernah situ bulan 12 tanggal 13 hotel swiss belhotel,Positif
39,Hotel Swiss-Belhotel Singkawang,39,2a.csv,"Harison sih gasss 1,2 doang",harison gas 1 2,Netral
40,Hotel Swiss-Belhotel Singkawang,40,2a.csv,Barusan Kamis kemarin ke sini,barusan kamis kemarin sini,Positif
41,Hotel Swiss-Belhotel Singkawang,41,2a.csv,"aku tiap mingu ke sini,sama laki orang😢😅😅",aku tiap minggu sini sama laki orang,Netral
42,Hotel Swiss-Belhotel Singkawang,42,2a.csv,info musik DJ ny KK??🙏,info musik dj kakak,Netral
43,Hotel Swiss-Belhotel Singkawang,43,2a.csv,itu gua udh pernah tapi air kolam nya kayak rasa asam,aku sudah pernah tapi air kolam seperti rasa asam,Negatif
44,Hotel Swiss-Belhotel Singkawang,44,2a.csv,jangan lupa mampir di bakso 21 ce,jangan lupa mampir bakso,Netral
45,Hotel Swiss-Belhotel Singkawang,45,2a.csv,sungai raya nih hadir,sungai raya hadir,Netral
46,Hotel Swiss-Belhotel Singkawang,46,2a.csv,tahun lalu ke sini seru bet makanan tinggal pilih aja gak perlu bayar lagi wkwkkw,tahun lalu sini seru sekali makanan tinggal pilih tidak perlu bayar,Positif
47,Hotel Swiss-Belhotel Singkawang,47,2a.csv,🔥,,Netral
48,Hotel Swiss-Belhotel Singkawang,48,2a.csv,🥰❤️nice 🥰🥰,nice,Positif
49,Hotel Swiss-Belhotel Singkawang,49,2a.csv,@Zeus Legacy,zeus legacy,Netral
50,Hotel Swiss-Belhotel Singkawang,1,2b.csv,bintang 3🗿,bintang 3,Netral
51,Hotel Swiss-Belhotel Singkawang,2,2b.csv,"Bintang 3 wakkkk,bukan bintang 5 ya😂",bintang 3 bukan bintang 5,Netral
52,Hotel Swiss-Belhotel Singkawang,3,2b.csv,jiu ngai a ii 😭😭,jiu ngai,Netral
53,Hotel Swiss-Belhotel Singkawang,4,2b.csv,Bintang 5 KW 😁😀 Bintang 3 kaleeeee,bintang 5 kw bintang 3,Netral
54,Hotel Swiss-Belhotel Singkawang,5,2b.csv,bintang 5 😭,bintang 5,Netral
55,Hotel Swiss-Belhotel Singkawang,6,2b.csv,cung yg pernah kesana✋✋ wkwkwkkw,cung pernah sana,Positif
56,Hotel Swiss-Belhotel Singkawang,7,2b.csv,ii ada lihat kan SD karuna yang ada vihara 😁🥰,lihat sd karuna ada vihara,Netral
57,Hotel Swiss-Belhotel Singkawang,8,2b.csv,itu ada di Singkawang sklh nya,singkawang sekolah,Netral
58,Hotel Swiss-Belhotel Singkawang,9,2b.csv,😊😊😊😊,,Netral
59,Hotel Swiss-Belhotel Singkawang,10,2b.csv,udh pernah nginap di sini..waktu imlek taun kemaren.,sudah pernah nginap sini waktu imlek tahun kemarin,Positif
60,Hotel Swiss-Belhotel Singkawang,11,2b.csv,"saya klo ke Singkawang pasti nginap di sini,di tower mantap pemandangan tpt sarapan pagi nya",saya kalau singkawang pasti nginap sini tower bagus pemandangan tempat sarapan pagi,Positif
61,Hotel Swiss-Belhotel Singkawang,12,2b.csv,ambil 2 Minggu ada diskon ngak,ambil 2 minggu ada diskon tidak,Netral
62,Hotel Swiss-Belhotel Singkawang,13,2b.csv,aku sih di mahkota,aku mahkota,Positif
63,Hotel Swiss-Belhotel Singkawang,14,2b.csv,🥰🥰🥰,,Netral
64,Hotel Swiss-Belhotel Singkawang,15,2b.csv,"iya saya udh 2kali nginap di Swiss beliin, bgus hotel nya",iya saya sudah 2 kali nginap swiss belhotel bagus hotel,Positif
65,Hotel Swiss-Belhotel Singkawang,16,2b.csv,assalamualaikum,assalamualaikum,Netral
66,Hotel Swiss-Belhotel Singkawang,17,2b.csv,udah pernahh,sudah pernah,Positif
67,Hotel Swiss-Belhotel Singkawang,18,2b.csv,😏😁😅😌😌😌,,Netral
68,Hotel Swiss-Belhotel Singkawang,19,2b.csv,Swiss Berlin saya tidak suka.. lebih suka di mahkota hotel.. minus nya di Swiss belin tidak bisa titip resepsionis klo kita beli gofood/grab,swiss belhotel saya tidak suka lebih suka mahkota hotel minus swiss belhotel tidak bisa titip resepsionis kalau kita beli gofood grab,Negatif
69,Hotel Swiss-Belhotel Singkawang,20,2b.csv,"7-8 x sudah pernah nginap disitu, baik tower 1 atau tower 2 nya",7 8 kali sudah pernah nginap situ baik tower 1 tower 2,Positif
70,Hotel Swiss-Belhotel Singkawang,21,2b.csv,di tanah,tanah,Netral
71,Hotel Swiss-Belhotel Singkawang,22,2b.csv,🥰🥰🥰,,Netral
72,Hotel Swiss-Belhotel Singkawang,23,2b.csv,tim yang udh pernah komen dibawah,tim sudah pernah komen bawah,Positif
73,Hotel Swiss-Belhotel Singkawang,24,2b.csv,🥰🥰🥰,,Netral
74,Hotel Swiss-Belhotel Singkawang,25,2b.csv,udah pernah sih ke situ sarapannya enak juga,sudah pernah situ sarapan enak,Positif
75,Hotel Swiss-Belhotel Singkawang,26,2b.csv,aku tinggal di Singkawang,aku tinggal singkawang,Netral
76,Hotel Swiss-Belhotel Singkawang,27,2b.csv,swiss belin ada mall kan,swiss belhotel ada mall,Netral
77,Hotel Swiss-Belhotel Singkawang,28,2b.csv,standar bintang 3 sih,standar bintang 3,Netral
78,Hotel Swiss-Belhotel Singkawang,29,2b.csv,aku sih pernah kesini dari kecil 🤏,aku pernah sini dari kecil,Positif
79,Hotel Swiss-Belhotel Singkawang,30,2b.csv,udah pernah ke situ suasana nya emang enak banget,sudah pernah situ suasana memang enak sekali,Positif
80,Hotel Swiss-Belhotel Singkawang,31,2b.csv,punya bapak ku ini😹,punya bapak,Netral
81,Hotel Swiss-Belhotel Singkawang,32,2b.csv,Swiss berlin emang bintang 5 tempat nya enak banget,swiss belhotel memang bintang 5 tempat enak sekali,Positif
82,Hotel Swiss-Belhotel Singkawang,33,2b.csv,"Jgn ambil new year packagenya, kapok dikasi jendela pemandangan kolam sepi doank malam-malam…",jangan ambil new year package kapok kasih jendela pemandangan kolam sepi malam,Negatif
83,Hotel Swiss-Belhotel Singkawang,34,2b.csv,*3 mana ada *5😅,3 mana ada 5,Netral
84,Hotel Swiss-Belhotel Singkawang,35,2b.csv,gw pernah ke Singkawang,aku pernah singkawang,Positif
85,Hotel Swiss-Belhotel Singkawang,36,2b.csv,suka banget di situ,suka sekali situ,Positif
86,Hotel Swiss-Belhotel Singkawang,37,2b.csv,😳😳😳,,Netral
87,Hotel Swiss-Belhotel Singkawang,38,2b.csv,Rekomen,rekomen,Positif
88,Hotel Swiss-Belhotel Singkawang,39,2b.csv,KAAK SAMA DI SINGKAWANG,kakak sama singkawang,Netral
89,Hotel Swiss-Belhotel Singkawang,40,2b.csv,udh pernah😁,sudah pernah,Positif
90,Hotel Swiss-Belhotel Singkawang,41,2b.csv,"harganya berapa,aku gatau mau cari dimana",harga berapa aku tidak tahu mau cari,Netral
91,Hotel Swiss-Belhotel Singkawang,42,2b.csv,aku pernah ke situ yg di paling belakang hotel 🏨,aku pernah situ paling belakang hotel,Positif
92,Hotel Swiss-Belhotel Singkawang,43,2b.csv,Serius bintang 5 ??,serius bintang 5,Netral
93,Hotel Swiss-Belhotel Singkawang,44,2b.csv,wow hotel suis belin aku pernah kesitu,wow hotel swiss belhotel aku pernah situ,Positif
94,Hotel Swiss-Belhotel Singkawang,45,2b.csv,masih ada kalo ada mau pesan nih 31-1,masih ada kalau ada mau pesan,Netral
95,Hotel Swiss-Belhotel Singkawang,46,2b.csv,Itu tower 1 aku tower 2,tower 1 aku tower 2,Netral
96,Hotel Swiss-Belhotel Singkawang,1,2c.csv,keren swissbell😁🥰,keren swissbell,Positif
97,Hotel Swiss-Belhotel Singkawang,2,2c.csv,semoga ada rejeki main ke sini 🥰,semoga ada rejeki main sini,Positif
98,Hotel Swiss-Belhotel Singkawang,3,2c.csv,Berapan kk,berapa kakak,Netral
99,Hotel Swiss-Belhotel Singkawang,4,2c.csv,"akuuu 2 malem disanaa, ini baruu pindah hotell",aku 2 malam sana ini baru pindah hotel,Positif
100,Hotel Swiss-Belhotel Singkawang,5,2c.csv,"kk tower 1 dan 2 apa beda nya apa kolam nya dan tempat sarapan nya beda ya kk, atau gabung",kakak tower 1 dan 2 apa beda kolam tempat sarapan beda atau gabung,Netral
101,Hotel Swiss-Belhotel Singkawang,6,2c.csv,@rizkyrizky,rizky,Netral
102,Hotel Swiss-Belhotel Singkawang,7,2c.csv,Spil harganya,spill harga,Netral
103,Hotel Swiss-Belhotel Singkawang,8,2c.csv,aku pernah nginap sini seruh bangett,aku pernah nginap sini seru sekali,Positif
104,Hotel Swiss-Belhotel Singkawang,9,2c.csv,spil harganya juga dunk,spill harga,Netral
105,Hotel Swiss-Belhotel Singkawang,10,2c.csv,@cancer,cancer,Netral
106,Hotel Swiss-Belhotel Singkawang,11,2c.csv,@bhabin desa ps palembang,bhabin desa palembang,Netral
107,Hotel Swiss-Belhotel Singkawang,12,2c.csv,berapa ribu sewa 1. malam hotel singkawang,berapa ribu sewa 1 malam hotel singkawang,Netral
108,Hotel Swiss-Belhotel Singkawang,13,2c.csv,@Abdullah Al-Batasani,abdullah al batasani,Netral
109,Hotel Swiss-Belhotel Singkawang,14,2c.csv,harganya brapa,harga berapa,Netral
110,Hotel Swiss-Belhotel Singkawang,15,2c.csv,@Rifki😇 ni yang kmrin tu,rifki yang kemarin,Netral
111,Hotel Swiss-Belhotel Singkawang,16,2c.csv,grand mall dan swiss belin,grand mall swiss belhotel,Netral
112,Hotel Swiss-Belhotel Singkawang,17,2c.csv,@Indhh @Cayuuuwww,indhh cayuuuwww,Netral
113,Hotel Swiss-Belhotel Singkawang,18,2c.csv,500/mlm?,500 malam,Netral
114,Hotel Swiss-Belhotel Singkawang,19,2c.csv,😭,,Netral
115,Hotel Swiss-Belhotel Singkawang,20,2c.csv,0812-8333-7663,,Netral
116,Hotel Swiss-Belhotel Singkawang,21,2c.csv,😂,,Netral
117,Hotel Swiss-Belhotel Singkawang,22,2c.csv,@RUTHANA NABABAN @Ini A @Tina 🌾🕊,ruthana nababan ini tina,Netral
118,Hotel Swiss-Belhotel Singkawang,23,2c.csv,😂,,Netral
119,Hotel Swiss-Belhotel Singkawang,24,2c.csv,🥰🥰🥰,,Netral
120,Hotel Swiss-Belhotel Singkawang,25,2c.csv,😁,,Netral
121,Hotel Swiss-Belhotel Singkawang,26,2c.csv,🥰,,Netral
122,Hotel Swiss-Belhotel Singkawang,27,2c.csv,🥰,,Netral
123,Hotel Swiss-Belhotel Singkawang,28,2c.csv,@Zeus Legacy sini kmi bemalam nt,zeus legacy sini kami bermalam,Netral
124,Hotel Swiss-Belhotel Singkawang,29,2c.csv,@HR2103,hr,Netral
125,Hotel Swiss-Belhotel Singkawang,30,2c.csv,✨,,Netral
126,Hotel Swiss-Belhotel Singkawang,31,2c.csv,harganya,harga,Netral
127,Hotel Swiss-Belhotel Singkawang,1,2d.csv,hotel Lala golden dong kak,hotel lala golden kakak,Netral
128,Hotel Swiss-Belhotel Singkawang,2,2d.csv,Yeay tanggal 24 April aku mau nginap di Swiss bell😆😆,yeay tanggal 24 april aku mau nginap swiss belhotel,Positif
129,Hotel Swiss-Belhotel Singkawang,3,2d.csv,Kena charge brp kak dekor itu ?,kena charge berapa kakak dekor,Netral
130,Hotel Swiss-Belhotel Singkawang,4,2d.csv,@rizkydana3 nanti sninya,rizkydana nanti,Netral
131,Hotel Swiss-Belhotel Singkawang,5,2d.csv,spill harga untuk honeymoon,spill harga honeymoon,Netral
132,Hotel Swiss-Belhotel Singkawang,6,2d.csv,singkawang ada gunung?,singkawang ada gunung,Netral
133,Hotel Swiss-Belhotel Singkawang,7,2d.csv,aku pernah ke sna,aku pernah sana,Positif
134,Hotel Swiss-Belhotel Singkawang,8,2d.csv,Hallo kak untuk tanya tanya/ booking bisa langsung via wa (085939237440),hallo kakak tanya booking bisa langsung wa,Netral
135,Hotel Swiss-Belhotel Singkawang,9,2d.csv,😂,,Netral
136,Hotel Swiss-Belhotel Singkawang,1,2e.csv,Kecewa kesini kolam renang renov🥲,kecewa sini kolam renang renov,Negatif
137,Hotel Swiss-Belhotel Singkawang,2,2e.csv,Spil harga room connect KY gini?,spill harga room connect,Netral
138,Hotel Swiss-Belhotel Singkawang,3,2e.csv,ini yg tower brp kk,ini tower berapa kakak,Netral
139,Hotel Swiss-Belhotel Singkawang,4,2e.csv,Udh pernah ke situ,sudah pernah situ,Positif
140,Hotel Swiss-Belhotel Singkawang,5,2e.csv,Januari aja lg klen kesana gaes. Kolamnya lg renov,januari lagi kalian sana kolam renov,Netral
141,Hotel Swiss-Belhotel Singkawang,6,2e.csv,mantap,bagus,Positif
142,Hotel Swiss-Belhotel Singkawang,7,2e.csv,Kak itu yg connection room ya? Kalo mau pesen yg connection room kyk gitu gmn caranya kak?,kakak connection room kalau mau pesen connection room seperti gimana cara kakak,Netral
143,Hotel Swiss-Belhotel Singkawang,8,2e.csv,spiil hotel dekat tugu naga dan sekitar nya dekat pasar,spill hotel dekat tugu naga sekitar dekat pasar,Positif
144,Hotel Swiss-Belhotel Singkawang,9,2e.csv,type apa ka,type apa kakak,Netral
145,Hotel Swiss-Belhotel Singkawang,10,2e.csv,😅😅😅,,Netral
146,Hotel Swiss-Belhotel Singkawang,11,2e.csv,Slmt siang Bisa minta kontak WA resepsionis nya kh 🙏,selamat siang bisa minta kontak wa resepsionis,Netral
147,Hotel Swiss-Belhotel Singkawang,1,2f.csv,koko,koko,Netral
148,Hotel Swiss-Belhotel Singkawang,2,2f.csv,"jco pst ada, pemilik jco kan asli org singkawang🤭",jco pasti ada pemilik jco asli orang singkawang,Positif
149,Hotel Swiss-Belhotel Singkawang,3,2f.csv,selamat datang di kota kami🥰🙏,selamat datang kota kami,Positif
150,Hotel Swiss-Belhotel Singkawang,4,2f.csv,udh sering,sudah sering,Positif
151,Hotel Swiss-Belhotel Singkawang,5,2f.csv,udah sering k sini,sudah sering sini,Positif
152,Hotel Swiss-Belhotel Singkawang,6,2f.csv,petun,petun,Netral
153,Hotel Swiss-Belhotel Singkawang,7,2f.csv,akuuu,aku,Netral
154,Hotel Swiss-Belhotel Singkawang,8,2f.csv,syaa aslii orng Singkawang 🤗,saya asli orang singkawang,Positif
155,Hotel Swiss-Belhotel Singkawang,9,2f.csv,Aku udh bg ke situ,aku sudah bang situ,Positif
156,Hotel Swiss-Belhotel Singkawang,10,2f.csv,👌👌,,Netral
157,Hotel Swiss-Belhotel Singkawang,11,2f.csv,Kaaa aku setiap tahun pulang sana kaa😍,kakak aku setiap tahun pulang sana,Positif
158,Hotel Swiss-Belhotel Singkawang,12,2f.csv,Eskalatornya menurutku agak serem,eskalator menurutku agak serem,Negatif
159,Hotel Swiss-Belhotel Singkawang,13,2f.csv,siapa asli dari singkawang absen,siapa asli singkawang absen,Netral
160,Hotel Swiss-Belhotel Singkawang,14,2f.csv,@enjell🫀 perasaan sean lah yang pertame🗿,enjell perasaan sean pertama,Netral
161,Hotel Swiss-Belhotel Singkawang,15,2f.csv,GK ke Sambas bang,tidak sambas bang,Netral
162,Hotel Swiss-Belhotel Singkawang,16,2f.csv,"Sygnya gak ada uniqlo😩 dan yg merk2 lainnya…dimall ptk bru ada, mana jauh bgt😫",sayang tidak ada uniqlo merk lain mall pontianak baru ada mana jauh sekali,Negatif
163,Hotel Swiss-Belhotel Singkawang,17,2f.csv,@TASYA•ZX @-sっsっsっ`ꜚ @Wawa @raa km gpp?? @nayaa @1⃣3⃣ @qilaa⋆˚ꜝꜝ🧜🏻‍♀️,tasya wawa raa nayaa qilaa,Netral
164,Hotel Swiss-Belhotel Singkawang,18,2f.csv,"waw, kotaku",waw kotaku,Positif
165,Hotel Swiss-Belhotel Singkawang,19,2f.csv,itu mall Deket banget anjir dari rumah gww,mall dekat sekali dari rumah aku,Positif
166,Hotel Swiss-Belhotel Singkawang,20,2f.csv,gw orang skw,aku orang singkawang,Positif
167,Hotel Swiss-Belhotel Singkawang,21,2f.csv,aku udah ke situ bang,aku sudah situ bang,Positif
168,Hotel Swiss-Belhotel Singkawang,22,2f.csv,Aku Pernah Ke Sana Bangg,aku pernah sana bang,Positif
169,Hotel Swiss-Belhotel Singkawang,23,2f.csv,aku blm pernah mall kota singkawang,aku belum pernah mall kota singkawang,Netral
170,Hotel Swiss-Belhotel Singkawang,24,2f.csv,bg gua ada di situ,bang aku ada situ,Positif
171,Hotel Swiss-Belhotel Singkawang,25,2f.csv,"pernah kesitu,cek aja vt akuu, cantikk bangett 😭😭💕💕💕",pernah situ cek vt aku cantik sekali,Positif
172,Hotel Swiss-Belhotel Singkawang,26,2f.csv,"itu kotaku, biasa aku ke mall cuma main mesin capit lain🤭 ujung-ujungnya dapat boneka ko",kotaku biasa aku mall main mesin capit ujung dapat boneka,Positif
173,Hotel Swiss-Belhotel Singkawang,27,2f.csv,aku,aku,Netral
174,Hotel Swiss-Belhotel Singkawang,28,2f.csv,"tetapi di Grand mall skrg udh gk ada bioskop, maco,",grand mall sekarang sudah tidak ada bioskop maco,Negatif
175,Hotel Swiss-Belhotel Singkawang,29,2f.csv,🔥🔥🔥,,Netral
176,Hotel Swiss-Belhotel Singkawang,30,2f.csv,aku udah kesitu kerena aku tinggal situ,aku sudah situ karena aku tinggal situ,Positif
177,Hotel Swiss-Belhotel Singkawang,31,2f.csv,kak aku tinggal di singkawang lohh,kakak aku tinggal singkawang,Netral
178,Hotel Swiss-Belhotel Singkawang,32,2f.csv,aku dari Sintang udah naik sana 😅lumayan bagus 🙏,aku sintang sudah naik sana lumayan bagus,Positif
179,Hotel Swiss-Belhotel Singkawang,33,2f.csv,sayang nya mereka Gucci belum ada masuk,sayang gucci belum masuk,Negatif
180,Hotel Swiss-Belhotel Singkawang,34,2f.csv,haaa ada chatime😭😭😭😭😭 gass otww kalau masihh ada menu chatime x JKT48,ada chatime gas kalau masih ada menu chatime jkt48,Positif
181,Hotel Swiss-Belhotel Singkawang,35,2f.csv,ih itu kota gw,kota aku,Positif
182,Hotel Swiss-Belhotel Singkawang,36,2f.csv,👌👌👌👌👌👌,,Netral
183,Hotel Swiss-Belhotel Singkawang,37,2f.csv,@⭐️⭐️ajak aku ke sini dong 😝,ajak aku sini,Netral
184,Hotel Swiss-Belhotel Singkawang,38,2f.csv,"ᴀᴋᴜ ᴏʀᴀɴɢ, ᴀᴋᴜ ᴍᴇᴋʜ ᴍᴀsᴜᴋ ᴍᴏʏ ᴇɪ ᴛᴇᴜ ᴘᴀs ᴛᴜɴᴊᴜɴɢᴀɴ🥰🥰",aku orang aku masuk mall pas tunjungan,Positif
185,Hotel Swiss-Belhotel Singkawang,39,2f.csv,aku ke grand mall pas tahun baru kemarin seruu abisss,aku grand mall pas tahun baru kemarin seru sekali,Positif
186,Hotel Swiss-Belhotel Singkawang,40,2f.csv,ᴛᴜɴᴊᴜɴɢᴀɴ ᴘᴜʟᴀ ᴅɪ ᴋᴏᴛᴀ ᴋᴜ,tunjungan pula kota,Netral
187,Hotel Swiss-Belhotel Singkawang,41,2f.csv,MALL CUMAN 1 SEPI PULA,mall cuman 1 sepi,Negatif
188,Hotel Swiss-Belhotel Singkawang,42,2f.csv,roti Mako enak bnget cok,roti mako enak sekali,Positif
189,Hotel Swiss-Belhotel Singkawang,43,2f.csv,aku pernah ke situ,aku pernah situ,Positif
190,Hotel Swiss-Belhotel Singkawang,44,2f.csv,sering karna mall tetangga saya🤣beli sabun cuci piring aja ke mall karna dekat🤣banyak promo lagi 😊,sering mall tetangga beli sabun cuci piring mall dekat banyak promo,Positif
191,Hotel Swiss-Belhotel Singkawang,45,2f.csv,@hrlinaa,hrlinaa,Netral
192,Hotel Swiss-Belhotel Singkawang,46,2f.csv,aku pernah ke situ🔥👌,aku pernah situ,Positif
193,Hotel Swiss-Belhotel Singkawang,47,2f.csv,mall Sambas kpn jdi? perasaan dlu pernah viral 🗿,mall sambas kapan jadi perasaan dulu pernah viral,Netral
194,Hotel Swiss-Belhotel Singkawang,48,2f.csv,aku pernah ke mall nyaa aku ke kidzlandia,aku pernah mall kidzlandia,Positif
195,Hotel Swiss-Belhotel Singkawang,49,2f.csv,coba ke masjid Baitul huda,coba masjid baitul huda,Netral
196,Hotel Swiss-Belhotel Singkawang,50,2f.csv,ada saya😊,ada,Positif
197,Hotel Swiss-Belhotel Singkawang,51,2f.csv,"udh sering ke situ, kalo mau beli blind box ke miniso biasa tapi gak ada pop Mart nya guys maaf:(",sudah sering situ kalau mau beli blind box miniso tapi tidak ada pop mart,Netral
198,Hotel Swiss-Belhotel Singkawang,52,2f.csv,kebetulan bgtt lagi di mall Singkawang dekat rumh ku itu cuyy,kebetulan mall singkawang dekat rumah cuy,Positif
199,Hotel Swiss-Belhotel Singkawang,53,2f.csv,Kambing Guling Gala Jasa hadir🔥🔥🔥,kambing guling gala jasa hadir,Positif
200,Hotel Swiss-Belhotel Singkawang,54,2f.csv,aku sudah makan ramen bang di sana,aku sudah makan ramen bang sana,Positif
201,Hotel Swiss-Belhotel Singkawang,55,2f.csv,mol ada super market,mall ada supermarket,Positif
202,Hotel Swiss-Belhotel Singkawang,56,2f.csv,🤭🤭🤭,,Netral
203,Hotel Swiss-Belhotel Singkawang,57,2f.csv,am,am,Netral
204,Hotel Swiss-Belhotel Singkawang,58,2f.csv,udah nonton xxl🔥,sudah nonton xxl,Positif
205,Hotel Swiss-Belhotel Singkawang,59,2f.csv,@kokosukajalan Kenapa gak pakai lift gara gara Escalator terus karena apa,kenapa tidak pakai lift escalator,Netral
206,Hotel Swiss-Belhotel Singkawang,60,2f.csv,🔥,,Netral
207,Hotel Swiss-Belhotel Singkawang,61,2f.csv,👌,,Netral
208,Hotel Swiss-Belhotel Singkawang,62,2f.csv,Aku udah pernah ke situ,aku sudah pernah situ,Positif
209,Hotel Swiss-Belhotel Singkawang,63,2f.csv,mol nya dekat dengan rumah ku loh,mall dekat rumah,Positif
